tag,fit,condition,generic,type,sample,combine,outcome,detail
"live","gaussian.base","build","","","","","built","class=bart"
"live","gaussian.base","fields","documented-present","","","","info","call;yhat.train;yhat.test;yhat.train.mean;yhat.test.mean;sigma;first.sigma;varcount;sigest;resid.dist;y;fit;family"
"live","gaussian.base","fields","documented-absent","","","","info","n.chains"
"live","gaussian.base","fields","all-names","","","","info","call;family;resid.dist;first.sigma;sigma;sigest;yhat.train;yhat.train.mean;yhat.test;yhat.test.mean;s.train;s.test;varcount;y;fit"
"live","gaussian.base","method:predict.bart","predict","ev","","TRUE","accepted","matrix/array 6x12"
"live","gaussian.base","method:predict.bart","predict","ev","","FALSE","accepted","matrix/array 6x12"
"live","gaussian.base","method:predict.bart","predict","ppd","","TRUE","accepted","matrix/array 6x12"
"live","gaussian.base","method:predict.bart","predict","ppd","","FALSE","accepted","matrix/array 6x12"
"live","gaussian.base","method:predict.bart","predict","bart","","TRUE","accepted","matrix/array 6x12"
"live","gaussian.base","method:predict.bart","predict","bart","","FALSE","accepted","matrix/array 6x12"
"live","gaussian.base","method:predict.bart","predict","forest","","TRUE","refused","type = ""forest"" is only available on a fit with per-forest reporting (an amplitude-coupled multi-forest fit); this fit has none"
"live","gaussian.base","method:predict.bart","predict","forest","","FALSE","refused","type = ""forest"" is only available on a fit with per-forest reporting (an amplitude-coupled multi-forest fit); this fit has none"
"live","gaussian.base","method:predict.bart","predict","zzz-bad-type","","TRUE","refused","type must be in 'ev', 'ppd', 'bart', 'forest'"
"live","gaussian.base","method:predict.bart","predict","zzz-bad-type","","FALSE","refused","type must be in 'ev', 'ppd', 'bart', 'forest'"
"live","gaussian.base","method:extract.bart","extract","ev","train","TRUE","accepted","matrix/array 6x40"
"live","gaussian.base","method:extract.bart","extract","ev","train","FALSE","accepted","matrix/array 6x40"
"live","gaussian.base","method:extract.bart","extract","ev","test","TRUE","accepted","matrix/array 6x12"
"live","gaussian.base","method:extract.bart","extract","ev","test","FALSE","accepted","matrix/array 6x12"
"live","gaussian.base","method:extract.bart","extract","ev","zzz-bad-sample","TRUE","refused","sample must be in 'train', 'test'"
"live","gaussian.base","method:extract.bart","extract","ev","zzz-bad-sample","FALSE","refused","sample must be in 'train', 'test'"
"live","gaussian.base","method:extract.bart","extract","ppd","train","TRUE","accepted","matrix/array 6x40"
"live","gaussian.base","method:extract.bart","extract","ppd","train","FALSE","accepted","matrix/array 6x40"
"live","gaussian.base","method:extract.bart","extract","ppd","test","TRUE","accepted","matrix/array 6x12"
"live","gaussian.base","method:extract.bart","extract","ppd","test","FALSE","accepted","matrix/array 6x12"
